2021-06-11 09:40:17.143019, buy,117.67,1
2021-06-11 09:56:01.597521, buy,117.47,1
2021-06-11 09:57:00.488613, buy,117.25,1
2021-06-11 10:00:47.293411, sell,117.45,1
2021-06-11 10:04:13.215458, sell,117.67,1
2021-06-11 10:08:14.470265, sell,117.87,1
2021-06-11 10:18:26.983937, buy,117.67,1
2021-06-11 10:27:51.217151, sell,117.87,1
2021-06-11 10:40:17.481083, buy,117.67,1
2021-06-11 12:29:05.555402, buy,117.47,1
2021-06-11 12:36:24.294662, sell,117.67,1
2021-06-11 13:18:30.443784, buy,117.47,1
2021-06-11 14:10:08.077195, sell,117.67,1
2021-06-11 14:21:37.884971, sell,117.87,1
2021-06-11 15:55:06.135389, sell,118.08,1
2021-06-11 15:57:03.336433, sell,118.28,1
2021-06-14 09:32:00.761964, sell,118.853,1
2021-06-14 09:33:00.321867, sell,118.84,1
2021-06-14 09:34:00.389503, sell,119.08,1
2021-06-14 09:35:00.408373, buy,119.22,1
2021-06-14 09:38:53.099929, sell,119.42,1
2021-06-14 09:43:06.479693, sell,119.78,1
2021-06-14 09:45:24.877779, buy,119.58,1
2021-06-14 09:46:05.619956, sell,119.78,1
2021-06-14 09:50:05.103920, sell,119.98,1
2021-06-14 09:51:00.506487, buy,119.8989,1
2021-06-14 09:53:00.901907, buy,119.69,1
2021-06-14 09:59:06.866230, sell,119.89,1
2021-06-14 10:01:02.086346, buy,119.69,1
2021-06-14 10:02:33.913368, buy,119.49,1
2021-06-14 10:06:07.347864, buy,119.28,1
2021-06-14 10:10:36.881192, sell,119.48,1
2021-06-14 10:36:58.857038, buy,119.28,1
2021-06-14 10:53:06.246325, sell,119.48,1
2021-06-14 11:12:53.245560, sell,119.69,1
2021-06-14 11:42:07.507305, sell,119.89,1
2021-06-14 11:54:47.242388, sell,120.09,1
2021-06-14 11:55:00.381266, buy,120.09,1
2021-06-14 12:04:02.969304, sell,120.29,1
2021-06-14 12:05:00.386352, buy,120.4392,1
2021-06-14 12:11:15.399610, sell,120.63,1
2021-06-14 12:12:00.332392, buy,120.64,1
2021-06-14 12:14:26.928382, sell,120.84,1
2021-06-14 12:15:00.317862, buy,120.8278,1
2021-06-14 12:27:55.946882, buy,120.62,1
2021-06-14 12:33:44.473305, buy,120.42,1
2021-06-14 12:37:25.395498, sell,120.62,1
2021-06-14 13:34:22.157632, sell,120.82,1
2021-06-14 14:01:51.662579, buy,120.62,1
2021-06-14 14:25:31.005708, buy,120.42,1
2021-06-14 14:28:15.986653, buy,120.22,1
2021-06-14 14:38:12.518067, sell,120.42,1
2021-06-14 14:52:04.942441, sell,120.62,1
2021-06-14 14:58:26.373299, buy,120.42,1
2021-06-14 15:52:26.619054, sell,120.62,1
2021-06-14 15:54:51.074038, sell,120.82,1
2021-06-16 09:43:00.562386, buy,119.76,1
2021-06-16 09:45:22.201502, buy,119.56,1
2021-06-16 10:00:18.932641, sell,119.76,1
2021-06-16 10:11:25.508878, buy,119.56,1
