2021-05-14 10:39:00.352396, 111.38
2021-05-14 10:40:00.371576, 111.39
2021-05-14 10:42:00.929639, 111.4
2021-05-14 10:43:00.502690, 111.39
2021-05-14 10:44:00.536988, 111.38
2021-05-14 10:45:00.714418, 111.36
2021-05-14 10:46:00.521324, 111.51
2021-05-14 10:47:00.371168, 111.54
2021-05-14 10:48:00.489773, 111.555
2021-05-14 10:49:00.484458, 111.54
2021-05-14 10:50:00.806444, 111.65
2021-05-14 10:51:00.410568, 111.6
2021-05-14 10:52:00.610518, 111.59
2021-05-14 10:53:00.569518, 111.6
2021-05-14 10:54:00.552984, 111.57
2021-05-14 10:55:00.553388, 111.52
2021-05-14 10:56:00.350255, 111.49
2021-05-14 10:57:00.516045, 111.39
2021-05-14 10:58:00.449923, 111.415
2021-05-14 10:59:00.569950, 111.435
2021-05-14 11:00:00.550679, 111.45
2021-05-14 11:01:00.529260, 111.34
2021-05-14 11:02:00.457618, 111.25
2021-05-14 11:03:00.364781, 111.13
2021-05-14 11:04:00.494474, 111.09
2021-05-14 11:05:00.492338, 111.11
2021-05-14 11:06:00.508749, 111.08
2021-05-14 11:07:00.445778, 111.09
2021-05-14 11:08:00.566625, 111.06
2021-05-14 11:09:00.515158, 111.055
2021-05-14 11:10:00.528415, 111.04
2021-05-14 11:11:00.680846, 111.125
2021-05-14 11:12:00.389721, 111.2
2021-05-14 11:13:00.408251, 111.19
2021-05-14 11:15:00.807410, 111.18
2021-05-14 11:16:00.570059, 111.35
2021-05-14 11:17:00.579780, 111.37
2021-05-14 11:18:00.438656, 111.435
2021-05-14 11:19:00.480968, 111.47
2021-05-14 11:20:00.600215, 111.47
2021-05-14 11:21:00.336785, 111.48
2021-05-14 11:22:00.530483, 111.445
2021-05-14 11:23:00.549938, 111.41
2021-05-14 11:25:00.647578, 111.56
2021-05-14 11:26:00.439429, 111.59
2021-05-14 11:27:00.536728, 111.54
2021-05-14 11:28:00.540882, 111.52
2021-05-14 11:29:00.357136, 111.45
2021-05-14 11:30:00.907221, 111.51
2021-05-14 11:31:00.399363, 111.42
2021-05-14 11:32:00.342793, 111.42
2021-05-14 11:33:00.577512, 111.37
2021-05-14 11:34:00.446223, 111.37
2021-05-14 11:35:00.325568, 111.49
2021-05-14 11:36:00.583069, 111.53
2021-05-14 11:37:00.725046, 111.56
2021-05-14 11:38:00.401185, 111.48
2021-05-14 11:39:00.534292, 111.56
2021-05-14 11:40:00.394002, 111.64
2021-05-14 11:41:00.516242, 111.6
2021-05-14 11:42:00.642488, 111.56
2021-05-14 11:43:00.541125, 111.6
2021-05-14 11:44:00.414945, 111.61
2021-05-14 11:45:00.554730, 111.6
2021-05-14 11:46:00.468314, 111.59
2021-05-14 11:47:00.643855, 111.6
2021-05-14 11:48:00.323894, 111.6
2021-05-14 11:49:00.358765, 111.65
2021-05-14 11:50:00.477177, 111.64
2021-05-14 11:51:00.465089, 111.645
2021-05-14 11:52:00.555137, 111.64
2021-05-14 11:53:00.503760, 111.6
2021-05-14 11:55:00.898026, 111.62
2021-05-14 11:56:00.481568, 111.645
2021-05-14 11:57:00.360162, 111.61
2021-05-14 11:58:00.553560, 111.675
2021-05-14 11:59:00.499617, 111.69
2021-05-14 12:00:00.470841, 111.66
2021-05-14 12:01:00.516319, 111.65
2021-05-14 12:02:00.530155, 111.71
2021-05-14 12:03:00.274090, 111.82
2021-05-14 12:04:00.536047, 111.86
2021-05-14 12:05:00.808274, 111.86
2021-05-14 12:06:00.656839, 111.87
2021-05-14 12:07:00.336430, 111.9
2021-05-14 12:08:00.322085, 111.94
2021-05-14 12:09:00.361660, 111.95
2021-05-14 12:10:00.679930, 111.97
2021-05-14 12:11:00.390964, 111.99
2021-05-14 12:12:00.480839, 111.98
2021-05-14 12:13:00.502081, 112
2021-05-14 12:14:00.319700, 112
2021-05-14 12:15:00.488801, 112.04
2021-05-14 12:16:00.420098, 112.07
2021-05-14 12:17:00.435149, 112.08
2021-05-14 12:18:00.492100, 112
2021-05-14 12:19:00.426358, 111.98
2021-05-14 12:20:00.751680, 111.99
2021-05-14 12:21:00.493908, 112
2021-05-14 12:22:00.398071, 111.99
2021-05-14 12:23:00.495821, 111.96
2021-05-14 12:24:00.485004, 111.89
2021-05-14 12:25:00.529822, 111.88
2021-05-14 12:26:00.404460, 111.95
